first_pair,second_pair,a,b,c,d,predicted_m3,predicted_m4,observed_m3,observed_m4,branch_probability,retained_pair,statevector_error,success_branch
Phi+,Phi+,0,0,0,0,0,0,0,0,0.9999999999999996,Phi+,1.5700924586837752e-16,True
Phi+,Phi-,0,0,0,1,1,0,1,0,0.9999999999999996,Phi+,1.5700924586837752e-16,False
Phi+,Psi+,0,0,1,0,0,1,0,1,0.9999999999999996,Phi+,1.5700924586837752e-16,False
Phi+,Psi-,0,0,1,1,1,1,1,1,0.9999999999999996,Phi+,1.5700924586837752e-16,False
Phi-,Phi+,0,1,0,0,1,0,1,0,0.9999999999999996,Phi-,1.5700924586837752e-16,False
Phi-,Phi-,0,1,0,1,0,0,0,0,0.9999999999999996,Phi-,1.5700924586837752e-16,True
Phi-,Psi+,0,1,1,0,1,1,1,1,0.9999999999999996,Phi-,1.5700924586837752e-16,False
Phi-,Psi-,0,1,1,1,0,1,0,1,0.9999999999999996,Phi-,1.5700924586837752e-16,False
Psi+,Phi+,1,0,0,0,0,1,0,1,0.9999999999999996,Psi+,1.5700924586837752e-16,False
Psi+,Phi-,1,0,0,1,1,1,1,1,0.9999999999999996,Psi+,1.5700924586837752e-16,False
Psi+,Psi+,1,0,1,0,0,0,0,0,0.9999999999999996,Psi+,1.5700924586837752e-16,True
Psi+,Psi-,1,0,1,1,1,0,1,0,0.9999999999999996,Psi+,1.5700924586837752e-16,False
Psi-,Phi+,1,1,0,0,1,1,1,1,0.9999999999999996,Psi-,1.5700924586837752e-16,False
Psi-,Phi-,1,1,0,1,0,1,0,1,0.9999999999999996,Psi-,1.5700924586837752e-16,False
Psi-,Psi+,1,1,1,0,1,0,1,0,0.9999999999999996,Psi-,1.5700924586837752e-16,False
Psi-,Psi-,1,1,1,1,0,0,0,0,0.9999999999999996,Psi-,1.5700924586837752e-16,True
