circuit,n_cnot,case,case_kind,p_in_PhiP,p_in_PhiM,p_in_PsiP,p_in_PsiM,q,p_out_PhiP,p_out_PhiM,p_out_PsiP,p_out_PsiM,max_bell_offdiag,trace_weight,trace_weight_meaning,norm_err,min_bell_pop,backend_cross_check
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,2.273525057900917e-33,2.221197325807621e-33,2.2371143170757382e-17,0.9999999999999987,parity_visibility,2.220446049250313e-16,0.0,1.110e-16
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.0001,0.9997875087506874,8.749374968749662e-05,6.249874981249798e-05,6.249874981247312e-05,6.115312045645818e-17,0.998700794697079,parity_visibility,1.1102230246251565e-16,6.249874981247312e-05,9.443e-16
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.001,0.9978758756886882,0.0008743746871875121,0.0006248748120620146,0.0006248748120620269,4.723295170327168e-17,0.9870791978016862,parity_visibility,2.220446049250313e-16,0.0006248748120620146,8.884e-16
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.005,0.9893969616822126,0.004359335742394533,0.0031218512876963252,0.003121851287696329,8.106218263233388e-17,0.936950122177995,parity_visibility,1.1102230246251565e-16,0.0031218512876963252,6.663e-16
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.01,0.978838199455342,0.008687184382012764,0.006237308081322533,0.006237308081322672,8.047418707180951e-17,0.8776548783289331,parity_visibility,0.0,0.006237308081322533,1.347e-16
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.02,0.9578556925397511,0.017247450249641128,0.012448428605303772,0.01244842860530378,9.160403834348131e-17,0.7694996578280617,parity_visibility,1.1102230246251565e-16,0.012448428605303772,1.666e-16
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.05,0.8960310969157639,0.04214651664449322,0.03091119321987126,0.03091119321987145,2.5644418212747743e-17,0.5154404691462409,parity_visibility,2.220446049250313e-16,0.03091119321987126,3.333e-16
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.1,0.7970631337802782,0.08090775864973203,0.06101455378499477,0.0610145537849948,8.391538826833957e-17,0.2587455534372072,parity_visibility,3.3306690738754696e-16,0.06101455378499477,1.527e-16
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.15,0.703904105460063,0.11599021648321935,0.09005283902835869,0.09005283902835876,7.014722775988919e-17,0.12629585323334375,parity_visibility,2.220446049250313e-16,0.09005283902835869,4.164e-17
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.2,0.6175520459440053,0.14708542713567826,0.11768126346015813,0.11768126346015813,3.1185283020373187e-16,0.05982889443327997,parity_visibility,1.1102230246251565e-16,0.11768126346015813,7.287e-17
Type3,16,isotropic_eps0.0000,deterministic,1.0,0.0,0.0,0.0,0.3,0.46982067081323015,0.19626605824565393,0.16695663547055783,0.1669566354705578,4.379543212740928e-16,0.012148554271367427,parity_visibility,2.220446049250313e-16,0.1669566354705578,2.776e-17
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.0,0.9994942683749153,0.00016857720836149597,0.00016857720836142994,0.00016857720836142885,1.1376258495781668e-17,0.9268749999999988,parity_visibility,4.440892098500626e-16,0.00016857720836142885,1.665e-16
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.0001,0.9992760081754254,0.000257982573814781,0.00023300462537980014,0.00023300462537973395,7.304345593290852e-17,0.9256781031799393,parity_visibility,2.220446049250313e-16,0.00023300462537973395,9.437e-16
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.001,0.9973125293081657,0.0010620315215334709,0.0008127195851502488,0.0008127195851503221,5.070537110731894e-18,0.9149713199711345,parity_visibility,2.220446049250313e-16,0.0008127195851502488,6.113e-16
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.005,0.988604829408011,0.004622496004200538,0.0033863372938942034,0.0033863372938941925,1.021584126302093e-17,0.8687807946957437,parity_visibility,2.220446049250313e-16,0.0033863372938941925,7.217e-16
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.01,0.9777639051265933,0.00904287510934626,0.0065966098820301605,0.006596609882030209,3.7060866456031255e-17,0.8141278407702017,parity_visibility,1.1102230246251565e-16,0.0065966098820301605,1.119e-16
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.02,0.9562301642674712,0.01778194598662791,0.012993944872950329,0.012993944872950407,2.2033380117829173e-17,0.7143895908577096,parity_visibility,2.220446049250313e-16,0.012993944872950329,1.112e-16
