p,u_star,v_star,F_star,C_star,P_success_star,spectral_radius_2D,spectral_radius_15D,max_offbell_eig,dense_minus_closed_F,dense_n_iter
0.001,0.9989967394636294,0.9984958628977367,0.9989971163147757,0.9979942326295514,0.994759864375866,0.0017925915383508065,0.0017925942038639296,1.1317488034185839e-17,2.220446049250313e-16,6
0.003,0.996970463531636,0.9954625460677122,0.9969738889167651,0.9939477778335302,0.9843385881923818,0.005493401917296253,0.005493398442164533,3.629431840500156e-18,2.220446049250313e-16,7
0.01,0.989664123514984,0.9845750261654777,0.9897035439614847,0.9794070879229695,0.9484768820778772,0.019265802868994986,0.019265802426366344,3.9580631908146555e-18,0.0,9
0.02,0.9786097299979798,0.96824665472709,0.97877575986304,0.95755151972608,0.8988650826480031,0.04082909166758115,0.040829093098885064,8.30046924716826e-18,1.7763568394002505e-15,10
0.03,0.9667583953538447,0.9509256982660644,0.9671524479714935,0.9343048959429869,0.8511008732857395,0.06454261386280132,0.06454261515242725,4.3727066133654055e-18,5.551115123125783e-16,12
0.05,0.9402827458959157,0.9128749892417406,0.9415081810948491,0.8830163621896983,0.7608582291922078,0.11879747278368387,0.11879747334507708,1.3877787807814457e-17,3.3306690738754696e-15,14
0.07,0.9092831805558835,0.8693558010483918,0.9119986956631667,0.8239973913263334,0.6772239613814198,0.18336513729427914,0.18336513719807218,5.122750541149204e-18,1.0325074129013956e-14,16
0.1,0.8510475468820407,0.7902326926877078,0.8578782330643641,0.7157564661287281,0.5629150329791881,0.30445786840758426,0.30445786754457393,6.938893903907228e-18,1.9872992140790302e-14,24
0.12,0.8006887366069814,0.7242052230814073,0.812274795692449,0.624549591384898,0.49313132006488625,0.40646364778304744,0.4064636479523269,2.7755575615628914e-17,5.684341886080802e-14,31
0.15,0.693360456336817,0.5895716451300723,0.7181259366492404,0.4362518732984808,0.3952517496020349,0.608021666941434,0.6080216677573802,7.413110410603761e-17,8.115730310009894e-14,56
0.17,0.5701704750799507,0.4431172231875027,0.614101230363739,0.22820246072747796,0.3294180523139272,0.8020099283499637,0.8020099282254789,1.1700336581309704e-16,3.093081346605686e-13,120
