eps,level,F_circuit,F_recurrence,F_closed_form,P_level,P_total_tree,Tr_rho_pow,err_F,err_P_total,state_vs_matrix_power_fro
0.05,1,0.9994942683749156,0.9994942683749158,0.9994942683749158,0.9268749999999994,0.9268749999999994,0.9268749999999997,2.220446049250313e-16,2.220446049250313e-16,7.850463229266852e-17
0.05,2,0.999999914658884,0.9999999146588842,0.9999999146588839,0.9989888777691334,0.8582286132812488,0.8582286132812492,1.1102230246251565e-16,4.440892098500626e-16,7.850462293418931e-17
0.05,3,0.9999999999999974,0.9999999999999977,0.9999999999999978,0.999999829317778,0.7365562269375805,0.7365562269375812,2.220446049250313e-16,6.661338147750939e-16,7.850462293418876e-17
0.05,4,0.9999999999999998,1.0,1.0,0.9999999999999951,0.5425150754405217,0.542515075440523,2.220446049250313e-16,1.3322676295501878e-15,5.551115123125783e-17
0.05,5,0.9999999999999998,1.0,1.0,0.9999999999999998,0.29432260708023494,0.2943226070802364,2.220446049250313e-16,1.4432899320127035e-15,9.614813431917819e-17
0.05,6,0.9999999999999998,1.0,1.0,0.9999999999999998,0.08662579703850636,0.0866257970385072,2.220446049250313e-16,8.465450562766819e-16,1.9229626863835638e-16
0.1,1,0.9978134110787171,0.9978134110787172,0.9978134110787172,0.8574999999999995,0.8574999999999995,0.8574999999999997,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16
0.1,2,0.999998399286295,0.999998399286295,0.9999983992862951,0.9956331970522486,0.7320953124999992,0.7320953124999994,0.0,2.220446049250313e-16,1.1102230246251565e-16
0.1,3,0.9999999999991458,0.999999999999146,0.9999999999991461,0.9999967985760067,0.5359618307379137,0.5359618307379141,2.220446049250313e-16,4.440892098500626e-16,1.3597399555105182e-16
0.1,4,0.9999999999999998,1.0,1.0,0.9999999999982919,0.2872550840074454,0.2872550840074459,2.220446049250313e-16,4.996003610813204e-16,9.614813431917819e-17
0.1,5,0.9999999999999998,1.0,1.0,0.9999999999999998,0.08251548328812454,0.0825154832881248,2.220446049250313e-16,2.636779683484747e-16,1.9229626863835638e-16
0.1,6,0.9999999999999998,1.0,1.0,0.9999999999999998,0.006808804982272757,0.006808804982272802,2.220446049250313e-16,4.5102810375396984e-17,1.2412670766236366e-16
0.2,1,0.9897260273972601,0.9897260273972605,0.9897260273972605,0.7299999999999994,0.7299999999999994,0.7299999999999995,3.3306690738754696e-16,1.1102230246251565e-16,0.0
0.2,2,0.9999640821799721,0.9999640821799721,0.9999640821799723,0.9795927941452428,0.5220249999999991,0.5220249999999994,0.0,3.3306690738754696e-16,1.755416734942294e-16
0.2,3,0.9999999995699389,0.9999999995699391,0.9999999995699395,0.9999281660800643,0.2724905251562491,0.2724905251562494,2.220446049250313e-16,2.7755575615628914e-16,7.850462293418876e-17
0.2,4,0.9999999999999998,1.0,1.0,0.9999999991398779,0.0742510862360634,0.07425108623606361,2.220446049250313e-16,2.0816681711721685e-16,1.7022976547080561e-35
0.2,5,0.9999999999999998,1.0,1.0,0.9999999999999998,0.005513223807235323,0.005513223807235354,2.220446049250313e-16,3.122502256758253e-17,5.767608798285792e-55
