p,eps0,n,F,C
0.01,0.1,0,0.9249999999999999,0.8499999999999993
0.01,0.1,1,0.9865351216122745,0.973070243224555
0.01,0.1,2,0.9896316151283153,0.9792632302566427
0.01,0.1,3,0.9897020277570441,0.9794040555140768
0.01,0.1,4,0.9897035125841807,0.9794070251683586
0.01,0.1,5,0.9897035433205057,0.9794070866410055
0.01,0.1,6,0.9897035439485217,0.9794070878970388
0.01,0.1,7,0.9897035439612245,0.9794070879224542
0.01,0.1,8,0.9897035439614796,0.979407087922968
0.01,0.1,9,0.9897035439614847,0.979407087922969
0.01,0.1,10,0.9897035439614851,0.9794070879229771
0.01,0.1,11,0.9897035439614849,0.9794070879229771
0.01,0.1,12,0.9897035439614849,0.9794070879229623
0.01,0.1,13,0.9897035439614849,0.979407087922976
0.01,0.1,14,0.9897035439614849,0.9794070879229623
0.01,0.1,15,0.9897035439614849,0.979407087922976
0.01,0.1,16,0.9897035439614849,0.9794070879229623
0.01,0.1,17,0.9897035439614849,0.979407087922976
0.01,0.1,18,0.9897035439614849,0.9794070879229623
0.01,0.1,19,0.9897035439614849,0.979407087922976
0.01,0.1,20,0.9897035439614849,0.9794070879229623
0.01,0.1,21,0.9897035439614849,0.979407087922976
0.01,0.1,22,0.9897035439614849,0.9794070879229623
0.01,0.1,23,0.9897035439614849,0.979407087922976
0.01,0.1,24,0.9897035439614849,0.9794070879229623
0.01,0.1,25,0.9897035439614849,0.979407087922976
0.01,0.1,26,0.9897035439614849,0.9794070879229623
0.01,0.1,27,0.9897035439614849,0.979407087922976
0.01,0.1,28,0.9897035439614849,0.9794070879229623
0.01,0.1,29,0.9897035439614849,0.979407087922976
0.01,0.1,30,0.9897035439614849,0.9794070879229623
0.01,0.1,31,0.9897035439614849,0.979407087922976
0.01,0.1,32,0.9897035439614849,0.9794070879229623
0.01,0.1,33,0.9897035439614849,0.979407087922976
0.01,0.1,34,0.9897035439614849,0.9794070879229623
0.01,0.1,35,0.9897035439614849,0.979407087922976
0.01,0.1,36,0.9897035439614849,0.9794070879229623
0.01,0.1,37,0.9897035439614849,0.979407087922976
0.01,0.1,38,0.9897035439614849,0.9794070879229623
0.01,0.1,39,0.9897035439614849,0.979407087922976
0.01,0.1,40,0.9897035439614849,0.9794070879229623
0.01,0.5,0,0.625,0.25000000000000006
0.01,0.5,1,0.8762141826974466,0.7524283653948929
0.01,0.5,2,0.9812835692527133,0.9625671385054246
0.01,0.5,3,0.9894964406024401,0.9789928812048885
0.01,0.5,4,0.9896991803238616,0.9793983606477172
0.01,0.5,5,0.9897034538566547,0.9794069077133177
0.01,0.5,6,0.989703542124019,0.9794070842480371
0.01,0.5,7,0.9897035439243749,0.9794070878487383
0.01,0.5,8,0.9897035439607411,0.9794070879214667
0.01,0.5,9,0.9897035439614701,0.9794070879229498
0.01,0.5,10,0.9897035439614846,0.979407087922968
0.01,0.5,11,0.9897035439614849,0.9794070879229695
0.01,0.5,12,0.9897035439614849,0.979407087922976
0.01,0.5,13,0.9897035439614849,0.9794070879229623
0.01,0.5,14,0.9897035439614849,0.979407087922976
0.01,0.5,15,0.9897035439614849,0.9794070879229623
0.01,0.5,16,0.9897035439614849,0.979407087922976
0.01,0.5,17,0.9897035439614849,0.9794070879229623
0.01,0.5,18,0.9897035439614849,0.979407087922976
0.01,0.5,19,0.9897035439614849,0.9794070879229623
0.01,0.5,20,0.9897035439614849,0.979407087922976
0.01,0.5,21,0.9897035439614849,0.9794070879229623
0.01,0.5,22,0.9897035439614849,0.979407087922976
0.01,0.5,23,0.9897035439614849,0.9794070879229623
0.01,0.5,24,0.9897035439614849,0.979407087922976
0.01,0.5,25,0.9897035439614849,0.9794070879229623
0.01,0.5,26,0.9897035439614849,0.979407087922976
0.01,0.5,27,0.9897035439614849,0.9794070879229623
0.01,0.5,28,0.9897035439614849,0.979407087922976
0.01,0.5,29,0.9897035439614849,0.9794070879229623
0.01,0.5,30,0.9897035439614849,0.979407087922976
0.01,0.5,31,0.9897035439614849,0.9794070879229623
0.01,0.5,32,0.9897035439614849,0.979407087922976
0.01,0.5,33,0.9897035439614849,0.9794070879229623
0.01,0.5,34,0.9897035439614849,0.979407087922976
0.01,0.5,35,0.9897035439614849,0.9794070879229623
0.01,0.5,36,0.9897035439614849,0.979407087922976
0.01,0.5,37,0.9897035439614849,0.9794070879229623
0.01,0.5,38,0.9897035439614849,0.979407087922976
0.01,0.5,39,0.9897035439614849,0.9794070879229623
0.01,0.5,40,0.9897035439614849,0.979407087922976
0.01,0.8,0,0.3999999999999998,0.0
0.01,0.8,1,0.5592344532084512,0.11846890641690233
0.01,0.8,2,0.8114748912824719,0.6229497825649439
0.01,0.8,3,0.9690045564582299,0.93800911291646
0.01,0.8,4,0.9890941828441949,0.9781883656883952
0.01,0.8,5,0.9896905741879098,0.9793811483758132
0.01,0.8,6,0.9897032755561036,0.9794065511122231
0.01,0.8,7,0.9897035384794454,0.9794070769588984
0.01,0.8,8,0.9897035438506319,0.9794070877012504
0.01,0.8,9,0.9897035439592609,0.9794070879185227
0.01,0.8,10,0.9897035439614406,0.9794070879228791
0.01,0.8,11,0.9897035439614841,0.9794070879229754
0.01,0.8,12,0.9897035439614847,0.979407087922977
0.01,0.8,13,0.9897035439614849,0.9794070879229623
0.01,0.8,14,0.9897035439614849,0.979407087922976
0.01,0.8,15,0.9897035439614849,0.9794070879229623
0.01,0.8,16,0.9897035439614849,0.979407087922976
0.01,0.8,17,0.9897035439614849,0.9794070879229623
0.01,0.8,18,0.9897035439614849,0.979407087922976
0.01,0.8,19,0.9897035439614849,0.9794070879229623
0.01,0.8,20,0.9897035439614849,0.979407087922976
0.01,0.8,21,0.9897035439614849,0.9794070879229623
0.01,0.8,22,0.9897035439614849,0.979407087922976
0.01,0.8,23,0.9897035439614849,0.9794070879229623
0.01,0.8,24,0.9897035439614849,0.979407087922976
0.01,0.8,25,0.9897035439614849,0.9794070879229623
0.01,0.8,26,0.9897035439614849,0.979407087922976
0.01,0.8,27,0.9897035439614849,0.9794070879229623
0.01,0.8,28,0.9897035439614849,0.979407087922976
0.01,0.8,29,0.9897035439614849,0.9794070879229623
0.01,0.8,30,0.9897035439614849,0.979407087922976
0.01,0.8,31,0.9897035439614849,0.9794070879229623
0.01,0.8,32,0.9897035439614849,0.979407087922976
0.01,0.8,33,0.9897035439614849,0.9794070879229623
0.01,0.8,34,0.9897035439614849,0.979407087922976
0.01,0.8,35,0.9897035439614849,0.9794070879229623
0.01,0.8,36,0.9897035439614849,0.979407087922976
0.01,0.8,37,0.9897035439614849,0.9794070879229623
0.01,0.8,38,0.9897035439614849,0.979407087922976
0.01,0.8,39,0.9897035439614849,0.9794070879229623
0.01,0.8,40,0.9897035439614849,0.979407087922976
0.05,0.1,0,0.9249999999999999,0.8499999999999993
0.05,0.1,1,0.9389576438503507,0.8779152877007024
0.05,0.1,2,0.9411696909802958,0.8823393819605928
0.05,0.1,3,0.9414650997275533,0.8829301994551068
0.05,0.1,4,0.9415028154048988,0.8830056308098002
0.05,0.1,5,0.9415075220066688,0.883015044013339
0.05,0.1,6,0.9415081008986772,0.8830162017973553
0.05,0.1,7,0.9415081714013043,0.8830163428026081
0.05,0.1,8,0.9415081799286845,0.883016359857369
0.05,0.1,9,0.9415081809550319,0.8830163619100635
0.05,0.1,10,0.941508181078127,0.8830163621562547
0.05,0.1,11,0.941508181092853,0.8830163621857071
0.05,0.1,12,0.9415081810946113,0.88301636218922
0.05,0.1,13,0.9415081810948209,0.8830163621896424
0.05,0.1,14,0.9415081810948458,0.8830163621896929
0.05,0.1,15,0.9415081810948488,0.8830163621896978
0.05,0.1,16,0.9415081810948491,0.883016362189701
0.05,0.1,17,0.9415081810948492,0.8830163621897014
0.05,0.1,18,0.9415081810948492,0.8830163621897014
0.05,0.1,19,0.9415081810948492,0.8830163621897014
0.05,0.1,20,0.9415081810948492,0.8830163621897014
0.05,0.1,21,0.9415081810948492,0.8830163621897014
0.05,0.1,22,0.9415081810948492,0.8830163621897014
0.05,0.1,23,0.9415081810948492,0.8830163621897014
0.05,0.1,24,0.9415081810948492,0.8830163621897014
0.05,0.1,25,0.9415081810948492,0.8830163621897014
0.05,0.1,26,0.9415081810948492,0.8830163621897014
0.05,0.1,27,0.9415081810948492,0.8830163621897014
0.05,0.1,28,0.9415081810948492,0.8830163621897014
0.05,0.1,29,0.9415081810948492,0.8830163621897014
0.05,0.1,30,0.9415081810948492,0.8830163621897014
0.05,0.1,31,0.9415081810948492,0.8830163621897014
0.05,0.1,32,0.9415081810948492,0.8830163621897014
0.05,0.1,33,0.9415081810948492,0.8830163621897014
0.05,0.1,34,0.9415081810948492,0.8830163621897014
0.05,0.1,35,0.9415081810948492,0.8830163621897014
0.05,0.1,36,0.9415081810948492,0.8830163621897014
0.05,0.1,37,0.9415081810948492,0.8830163621897014
0.05,0.1,38,0.9415081810948492,0.8830163621897014
0.05,0.1,39,0.9415081810948492,0.8830163621897014
0.05,0.1,40,0.9415081810948492,0.8830163621897014
0.05,0.5,0,0.625,0.25000000000000006
0.05,0.5,1,0.8097087510327727,0.6194175020655455
0.05,0.5,2,0.9133142369051366,0.8266284738102733
0.05,0.5,3,0.9375497994213164,0.8750995988426334
0.05,0.5,4,0.9410132780538262,0.8820265561076521
0.05,0.5,5,0.9414478436555132,0.8828956873110252
0.05,0.5,6,0.9415008881273872,0.8830017762547746
0.05,0.5,7,0.9415073039070952,0.8830146078141885
0.05,0.5,8,0.9415080759423846,0.8830161518847703
0.05,0.5,9,0.9415081685201863,0.8830163370403735
0.05,0.5,10,0.9415081795937489,0.8830163591875
0.05,0.5,11,0.9415081809158854,0.8830163618317711
0.05,0.5,12,0.9415081810735331,0.883016362147064
0.05,0.5,13,0.941508181092312,0.8830163621846225
0.05,0.5,14,0.9415081810945475,0.8830163621890937
0.05,0.5,15,0.9415081810948134,0.8830163621896259
0.05,0.5,16,0.9415081810948449,0.8830163621896898
0.05,0.5,17,0.9415081810948489,0.8830163621896983
0.05,0.5,18,0.9415081810948492,0.8830163621897014
0.05,0.5,19,0.9415081810948492,0.8830163621897014
0.05,0.5,20,0.9415081810948492,0.8830163621897014
0.05,0.5,21,0.9415081810948492,0.8830163621897014
0.05,0.5,22,0.9415081810948492,0.8830163621897014
0.05,0.5,23,0.9415081810948492,0.8830163621897014
0.05,0.5,24,0.9415081810948492,0.8830163621897014
0.05,0.5,25,0.9415081810948492,0.8830163621897014
0.05,0.5,26,0.9415081810948492,0.8830163621897014
0.05,0.5,27,0.9415081810948492,0.8830163621897014
0.05,0.5,28,0.9415081810948492,0.8830163621897014
0.05,0.5,29,0.9415081810948492,0.8830163621897014
0.05,0.5,30,0.9415081810948492,0.8830163621897014
0.05,0.5,31,0.9415081810948492,0.8830163621897014
0.05,0.5,32,0.9415081810948492,0.8830163621897014
0.05,0.5,33,0.9415081810948492,0.8830163621897014
0.05,0.5,34,0.9415081810948492,0.8830163621897014
0.05,0.5,35,0.9415081810948492,0.8830163621897014
0.05,0.5,36,0.9415081810948492,0.8830163621897014
0.05,0.5,37,0.9415081810948492,0.8830163621897014
0.05,0.5,38,0.9415081810948492,0.8830163621897014
0.05,0.5,39,0.9415081810948492,0.8830163621897014
0.05,0.5,40,0.9415081810948492,0.8830163621897014
0.05,0.8,0,0.3999999999999998,0.0
0.05,0.8,1,0.513501462179522,0.027002924359043917
0.05,0.8,2,0.6890519320909276,0.378103864181855
0.05,0.8,3,0.8573834098258951,0.7147668196517902
0.05,0.8,4,0.9266298154812989,0.8532596309625967
0.05,0.8,5,0.9395523297036604,0.8791046594073211
0.05,0.8,6,0.9412679626970408,0.8825359253940822
